,Year/State,Year/State,Opioid Data,Income Data,Employment Data,Employment Data,Education Data,Education Data,Education Data,Education Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data
,Year,State,Total Opioid Deaths,Median Household Income (in Inflation–Adjusted Dollars),Total in Labor Force,Total Unemployed in Civilian Labor Force,Total Surveyed,No High School Degree,High School Diploma or GED,College Degree or greater,Estimated Total Household Type(Including Living Alone),Estimated Total Family Households(Married Couples),Estimated Total Family Households(Male Householder No Spouse),Estimated Total Family Households(Female Householder No Spouse),Estimated Total Family Household(Nonfamily Households),Estimated Total Family Household(Householder Living Alone)
98,2021,West Virginia,1268.5,51248.0,771429,47941,1265439,141468,718062,405909,722201,345572,35843,80913,259873,215639
99,2021,Wisconsin,1341.166667,67125.0,3105191,110048,4076339,272074,2016672,1787593,2449970,1162694,114292,237670,935314,742202
100,2021,Wyoming,60.75,65204.0,301303,11171,395348,25356,205429,164563,242763,120894,11264,18675,91930,75088
101,2021,Alaska,156.5,77845.0,376965,24603,485779,32490,253723,199566,271311,129937,14924,27515,98935,77681
102,2019,Mississippi,194.6363636,45792.0,1342991,87817,1979664,290917,1039548,649199,1100229,481478,51755,185149,381847,333071
103,2019,Missouri,1122.166667,57409.0,3078235,116062,4206162,391815,2209345,1605002,2458337,1160554,111420,274071,912292,743724
104,2019,Montana,0.0,57153.0,545370,22004,741950,42682,380720,318548,437651,213679,19789,35541,168642,134306
105,2019,Nebraska,,,1049680,34133,1271770,101272,606722,563776,771444,388538,34087,70388,278431,221565
106,2019,Nevada,416.75,63276.0,1568228,79000,2136466,280915,1119163,736388,1143557,506470,70547,146738,419802,326114
107,2019,New Hampshire,374.5,77933.0,759931,22609,979750,65672,449183,464895,541396,273682,25008,47723,194983,149666
108,2019,New Jersey,2472.916667,85751.0,4731226,220476,6191229,599619,2640861,2950749,3286264,1667463,164798,409294,1044709,867529
109,2019,New Mexico,360.25,51945.0,972732,52489,1425988,201328,700531,524129,793420,331505,48858,116598,296459,248530
110,2019,New York,1453.541667,72108.0,10085219,445165,13664734,1694230,5599698,6370806,7446812,3222615,381647,1032094,2810456,2270961
111,2019,North Carolina,1813.25,57341.0,5272092,236872,7187077,818924,3319086,3049067,4046348,1926079,183212,521074,1415983,1157599
112,2019,North Dakota,0.0,64577.0,424480,10920,504375,33019,247243,224113,323519,151995,13101,24413,134010,108881
113,2019,Ohio,3367.25,58642.0,5976393,272654,8049805,740847,4249772,3059186,4730340,2126672,231837,584072,1787759,1470229
114,2019,Oklahoma,260.25,54449.0,1895848,81705,2619244,303266,1421573,894405,1495151,713636,79469,182649,519397,428168
115,2019,Oregon,326.6666667,67058.0,2158612,107991,2988118,258399,1428301,1301418,1649352,780807,75257,165524,627764,464096
116,2019,Pennsylvania,,,6592650,295633,9028036,811832,4523108,3693096,5119249,2373352,248946,605926,1891025,1543550
117,2019,Rhode Island,273.8333333,71169.0,575681,24199,746952,80207,342266,324479,407174,179776,21835,48376,157187,126319
118,2019,South Carolina,835.0,56227.0,2513088,116037,3563204,415678,1740418,1407108,1975915,928870,87130,270326,689589,572757
119,2019,South Dakota,31.58333333,59533.0,469624,14033,588029,46294,297120,244615,353799,177534,15601,30829,129835,105901
120,2019,Tennessee,1440.583333,56071.0,3387696,152373,4693962,562817,2434035,1697110,2654737,1274887,126971,326037,926842,762965
121,2019,Texas,1402.083333,64034.0,14574146,635077,18772550,2882388,8711029,7179133,9985126,4954566,535307,1367768,3127485,2559502
122,2019,Vermont,110.9166667,63001.0,343455,11552,445558,30858,203722,210978,262767,121034,12101,23018,106614,83141
123,2019,Utah,401.0,75780.0,1656987,52422,1911592,133060,929094,849438,1023855,619250,48395,93323,262887,196193
124,2019,Virginia,1228.416667,76456.0,4537998,175528,5872757,584712,2494868,2793177,3191847,1590659,139428,364676,1097084,884430
125,2019,Washington,769.3333333,78687.0,3988571,179353,5290324,440074,2367094,2483156,2932477,1448372,144433,290091,1049581,780979
126,2019,West Virginia,679.1666667,48850.0,795104,47424,1281086,164805,745308,370973,728175,352587,38501,79384,257703,215804
127,2019,Wisconsin,877.0833333,64168.0,3104192,98873,4015285,290862,2027663,1696760,2386623,1140000,106976,223140,916507,727668
128,2019,Wyoming,42.33333333,65003.0,297245,10539,389847,21250,211006,157591,233128,123545,10472,18842,80269,63939
129,2019,Illinois,2129.833333,69187.0,6628213,320069,8694694,882637,3993027,3819030,4866006,2251401,228645,579021,1806939,1497316
130,2019,Georgia,835.4166667,61980.0,5308730,251981,7080222,856025,3354499,2869698,3852714,1802484,184858,568098,1297274,1078622
131,2019,Idaho,0.0,60999.0,881838,29127,1170997,99906,609852,461239,655859,357453,30832,60694,206880,161580
132,2019,Hawaii,60.75,83102.0,745236,27112,996668,75978,479385,441305,465299,232024,25886,58296,149093,117299
133,2019,Indiana,1155.3,57603.0,3419651,142084,4502015,468083,2423479,1610453,2597765,1221373,131391,286466,958535,789156
134,2019,Iowa,140.1666667,61691.0,1682701,62357,2123004,156481,1092692,873831,1287221,628853,56872,123077,478419,381430
135,2019,Kansas,167.8,62087.0,1533054,56737,1918081,157757,934584,825740,1138329,571620,51289,110580,404840,331389
136,2019,Kentucky,988.75,52295.0,2112749,100537,3048442,390653,1631678,1026111,1748732,830268,90479,208529,619456,509690
137,2019,Louisiana,,,2179183,118011,3140201,440844,1712772,986585,1741076,737222,91516,285093,627245,526658
138,2019,Maine,282.5,58924.0,711235,24471,991152,67314,495831,428007,573618,268258,23083,51553,230724,178939
139,2019,Maryland,2098.916667,86738.0,3279799,147356,4183858,402152,1784183,1997523,2226767,1051319,106928,303823,764697,627269
140,2019,Massachusetts,1945.416667,85843.0,3857469,151812,4850576,420941,1887082,2542553,2650680,1238203,122663,304139,985675,757803
141,2019,Michigan,1867.75,59584.0,5010213,250252,6894627,596287,3578751,2719589,3969880,1825191,201154,470205,1473330,1210588
142,2019,Minnesota,0.0,74593.0,3112899,98727,3847212,245690,1725718,1875804,2222568,1100581,104656,196386,820945,653284
143,2019,Connecticut,1028.416667,78833.0,1937195,102571,2496420,231839,1079333,1185248,1377166,649536,65892,170483,491255,399404
144,2019,Florida,3925.333333,59227.0,10500485,471449,15484502,1794635,7397503,6292364,7905832,3670205,404915,1008152,2822560,2264095
145,2019,Alabama,0.0,51734.0,2281982,111622,3360058,433073,1739714,1187271,1897576,892050,80004,265829,659693,566168
146,2019,Alaska,80.16666667,75463.0,377728,20650,484058,31090,263417,189551,252199,124608,12733,25793,89065,69109
147,2019,Arizona,1216.166667,62055.0,3506306,176868,4944540,612998,2407530,1924012,2670441,1272331,148008,320365,929737,728663
148,2019,Arkansas,0.0,48952.0,1398200,67142,2036456,254993,1154358,627105,1163647,553179,51650,150476,408342,343101
149,2019,California,3052.285714,80440.0,20246507,1017660,26937872,4301513,11089083,11547276,13157873,6490186,795365,1687092,4185230,3169002
150,2019,Colorado,580.4545455,77127.0,3182096,115497,3974943,302220,1642160,2030563,2235103,1116767,103851,201226,813259,605648
151,2019,Delaware,364.4166667,70176.0,494432,22631,687311,66522,335705,285084,376239,177794,19841,44949,133655,108346
152,2019,District of Columbia,236.6666667,92266.0,416359,25916,505145,41168,145626,318351,291570,78331,8516,38131,166592,130485
153,2018,Wisconsin,885.4166667,60773.0,3096515,98228,3992022,315219,2040125,1636678,2371960,1150650,113129,223591,884590,700528
154,2018,Wyoming,41.41666667,61584.0,302831,11684,393136,26309,217155,149672,230252,116706,8633,19186,85727,67099
155,2018,Mississippi,0.0,44717.0,1336759,94796,1977283,288595,1029619,659069,1108630,491760,46357,189831,380682,328697
156,2018,Missouri,1072.6,54478.0,3066200,127857,4182787,398377,2207516,1576894,2434806,1159502,109667,281707,883930,722964
157,2018,Montana,0.0,55328.0,545240,19003,735761,45079,385880,304802,431421,213173,17827,34643,165778,129350
158,2018,Nebraska,,,1040627,35872,1266440,108346,609718,548376,765490,379801,34404,71423,279862,226753
159,2018,Nevada,412.5,58646.0,1539795,85276,2096574,274055,1124067,698452,1129810,489381,78677,138580,423172,331730
160,2018,New Hampshire,420.0,74991.0,757313,26906,970748,66510,447429,456809,531212,274309,22189,45254,189460,146470
161,2018,New Jersey,2389.857143,81740.0,4729209,230383,6189243,607496,2647502,2934245,3249567,1663794,158451,409391,1017931,845110
162,2018,New Mexico,329.8333333,47169.0,941259,56803,1416481,206688,704600,505193,794093,344252,45118,106008,298715,246670
163,2018,New York,1542.083333,67844.0,10026845,499801,13672343,1757364,5629940,6285039,7367015,3243513,360765,1028658,2734079,2205142
164,2018,North Carolina,1833.583333,53855.0,5216053,254808,7102144,834880,3299447,2967817,4011462,1920236,178987,523072,1389167,1141663
165,2018,North Dakota,0.0,63837.0,418771,11691,500779,38508,238946,223325,319355,149349,13055,25515,131436,102273
166,2018,Ohio,3540.0,56111.0,5938035,292570,8027035,746400,4264290,3016345,4685447,2112567,227620,584057,1761203,1458547
167,2018,Oklahoma,324.6666667,51924.0,1891713,81669,2607613,301260,1430811,875542,1485310,716290,79154,187863,502003,416469
168,2018,Oregon,353.5,63426.0,2138616,106955,2952380,279925,1400404,1272051,1639970,793537,77279,156832,612322,448466
169,2018,Pennsylvania,,,6576258,321234,8994627,812098,4546402,3636127,5070931,2411269,236332,587656,1835674,1515091
170,2018,Rhode Island,278.9166667,64340.0,562393,30862,740695,80586,343847,316262,406573,174713,19732,53031,159097,128183
171,2018,South Carolina,777.6666667,52306.0,2475682,128847,3492355,403491,1744811,1344053,1927991,895552,86972,275749,669718,558826
172,2018,South Dakota,29.5,56274.0,470490,13845,582850,45157,296457,241236,345449,171939,14829,32939,125742,100854
173,2018,Tennessee,1279.083333,52375.0,3330964,181951,4640823,564949,2452383,1623491,2603140,1245738,127147,335283,894972,729207
174,2018,Texas,1416.0,60629.0,14266767,694485,18477097,2963969,8577352,6935776,9776083,4871974,505544,1352750,3045815,2493457
175,2018,Vermont,114.5,60782.0,344832,13128,445824,28903,206199,210722,261373,122744,12039,21021,105569,81715
176,2018,Utah,461.5833333,71414.0,1587453,50175,1871902,142082,885567,844253,998891,608407,44835,90525,255124,193696
177,2018,Virginia,1183.666667,72577.0,4482124,183221,5822007,588385,2489599,2744023,3175524,1579078,145217,370012,1081217,872563
178,2018,Washington,741.8333333,74073.0,3908438,166229,5215063,437484,2331025,2446554,2895575,1454891,135919,288827,1015938,758608
179,2018,West Virginia,770.75,44097.0,788509,45639,1280781,156585,754840,369356,734703,347271,33828,80812,272792,228158
